unique_id;name;category;subcategory;progressionLevel;description;rel_prev;rel_next;xp_value;unlock_requirements;form_cues;primary_muscle_group;secondary_muscle_groups;difficulty
PRW001;Vertical Row;pull;row;1;Row against vertical surface like wall or sturdy table;PHN003;PRW002;15;10 reps x 3 sets of Scapular Pulls;Pull elbows back, squeeze shoulder blades;mid-back;lats, biceps, rhomboids;beginner
PRW002;Incline Row;pull;row;2;Row with body at an incline, hands on elevated surface;PRW001;PRW003;20;15 reps x 3 sets of Vertical Row;Straight body line, pull elbows back;mid-back;lats, biceps, rhomboids;beginner
PRW003;Horizontal Row;pull;row;3;Row with body parallel to ground, feet on floor;PRW002;PRW004;25;12 reps x 3 sets of Incline Row;Body straight, pull chest to bar;mid-back;lats, biceps, rhomboids;intermediate
PRW004;Wide Row;pull;row;4;Horizontal row with wide hand position;PRW003;PRW005;30;8 reps x 3 sets of Horizontal Row;Focus on upper back, retract scapulae;mid-back;rear delts, traps, rhomboids;intermediate
PRW005;Ring Row;pull;row;5;Horizontal row performed on gymnastic rings;PRW004;PRW006;35;10 reps x 3 sets of Wide Row;Stabilize rings, maintain body alignment;mid-back;lats, biceps, rhomboids, stabilizers;intermediate
PRW006;Weighted Inverted Row;pull;row;6;Horizontal row with added weight on chest;PRW005;PRW007;40;8 reps x 3 sets of Ring Row;Maintain rigid body, controlled movement;mid-back;lats, biceps, rhomboids;intermediate
PRW007;Archer Row;pull;row;7;One arm rows while other is extended;PRW006;PRW008;50;8 reps x 3 sets with 10kg of Weighted Inverted Row;Full range of motion, one side at a time;mid-back;lats, biceps, core;advanced
PRW008;One Arm Ring Row;pull;row;8;Inverted row on rings using only one arm;PRW007;PRW009;60;5 reps each side x 3 sets of Archer Row;Maintain level hips, avoid rotation;mid-back;lats, biceps, core, obliques;advanced
PRW009;Feet Elevated One Arm Row;pull;row;9;One arm row with feet elevated to increase difficulty;PRW008;PRW010;70;5 reps each arm x 3 sets of One Arm Ring Row;Body parallel to ground, controlled movement;mid-back;lats, biceps, core, obliques;advanced
PRW010;L-Sit Ring Row;pull;row;10;Horizontal row with L-sit position for maximum difficulty;PRW009;;80;5 reps each arm x 3 sets of Feet Elevated One Arm Row;Maintain L-sit position throughout movement;mid-back;lats, biceps, core, hip flexors;elite
